Field Name,Hindi Value,English Value,Description
collegeName,शासकीय नवीन महाविद्यालय सारागांव,Govt Naveen College Saragaon,Name of the College
universityName,शहीद नंदकुमार पटेल विश्वविद्यालय रायगढ़ से संबद्ध,Affiliated to Shaheed Nandkumar Patel Vishwavidyalaya Raigarh,Affiliation details
campusDetails,जे.डी.एम. शासकीय कन्या शाला परिसर सारागांव,J.D.M. Govt. Girls School Campus Saragaon,Campus location
districtName,जांजगीर-चांपा (छत्तीसगढ़),Janjgir-Champa (Chhattisgarh),District and State name
address,"सारागांव, वार्ड नंबर 12, जिला जांजगीर-चांपा, छत्तीसगढ़ - 495686","Saragaon, Ward No. 12, Janjgir-Champa District, Chhattisgarh - 495686",Full postal address
phone,7722861400,7722861400,Contact phone numbers
email,govtcollegesaragaon@gmail.com,govtcollegesaragaon@gmail.com,Contact email address
collegeCode,317,317,Official college code
establishedYear,2021,2021,Year of establishment
aisheCode,C-70734,C-70734,AISHE Code of the college
